trainEx26 republican   n y n y y y n n n y y y y y n y
trainEx27 republican   n y n y y y n n n y n y y y n y
trainEx28 republican   n y n y y y n n n y n y y y n y
trainEx29 republican   n y n y y y n n n n n y y y n n
trainEx30 democrat     y y y n n n y y y n y n n n n y
trainEx31 republican   y y n y y y y n n n n y y y n y
trainEx32 republican   n y n y y y y n n n y y y y n y
trainEx33 republican   n y n y y y n n n y n y y y n n
trainEx34 democrat     y y y n n n y y y n n n n n y y
trainEx35 republican   y y y y n n y y y y y n n y n y
trainEx36 republican   y n y y y n y n y y n n y y n y
trainEx37 democrat     y n y n n y y y y y y n n y y y
trainEx38 democrat     n y y y y y n n n y y n y y n n
trainEx39 democrat     n y y y y y n y y y y y y y n y
trainEx40 democrat     y y y n y y n n n y y n y y n y
trainEx41 republican   n n n y y n n n n y n y y y n n
trainEx42 republican   n n n y y y n n n y n y y y n y
trainEx43 republican   n n n y y y n n n n n y y y n n
trainEx44 democrat     n n y n y y n n n y y y y y n y
trainEx45 republican   n n n y y y n n n y n y y y n n
trainEx46 republican   n n n y y y n n n n n y y y n n
trainEx47 democrat     n y y n y y y n y y y n y y n y
trainEx48 democrat     y n y n n n y y y y n n n n y y
trainEx49 democrat     y n y n n n y y y y y n n n y y
trainEx50 democrat     y n y n n n y n y y y n n n y y
trainEx51 democrat     y n y n y y n n n n n n n n n y
trainEx52 democrat     y n n n y y y n n y y n n y n y
trainEx53 democrat     y y y n n y y y y y n n n n n y
trainEx54 democrat     y n n n y y n n n n y y n y n y
trainEx55 democrat     y n y n y y y n n n y n n y n y
trainEx56 democrat     y y y n n n n y y n y n n n y y
trainEx57 republican   n y n y y y n n n n n y y y n y
trainEx58 democrat     n n y n n n y y y y n n n n y y
trainEx59 democrat     y n y n n n y y y n y n n n y y
trainEx60 republican   y y y y y n y n n n n y y y n y
trainEx61 democrat     n y y n n n n y y y y n n n y y
trainEx62 republican   n n n y y y n n n n n y y y n n
trainEx63 republican   n n n y y y n n n y n y n y n y
trainEx64 democrat     n n y n n y n y y y n n n y n y
trainEx65 republican   n n n y y y n n n y n y y y n y
trainEx66 republican   n n n y y y n n n y n y y y n n
trainEx67 republican   n y n y y y n n n y y y y n n y
trainEx68 democrat     n n y n n y y y y y n n n y n y
trainEx69 democrat     y n y n n y y y y n n n n n y y
trainEx70 republican   n n n y n n y y y y n n y y n y
trainEx71 republican   n n n y y y y y y y n y y y n y
trainEx72 republican   n y n y y y n n n n n y y y n y
trainEx73 democrat     n n n n n n y y y y n y y y y y
trainEx74 republican   n y n y y y n n n y y y y y n y
trainEx75 democrat     n n y n n n y y y y n n y n y y
trainEx76 republican   y y n y y y n n n y n y y y n y
trainEx77 democrat     n y y n n y n y y y y n y n y y
trainEx78 democrat     n n y n n y y y y y y n y y n y
trainEx79 republican   n y n y y y n n n n n y y y n n
trainEx80 republican   y y n y y y y n n n n y y y n n
trainEx81 republican   n y n y y y n n n y n y y y n n
trainEx82 democrat     n y n n y y n n n n n y y y y y
trainEx83 democrat     n n n n y y y n n n n y y y n y
trainEx84 democrat     n y y n y y y n n n y y y y n y
trainEx85 republican   n y n y y y y n n n n y y y n y
trainEx86 republican   y n y y y y y y n y n y n y y y
trainEx87 republican   y n y y y y y y n y y y n y y y
trainEx88 democrat     y n y n n n y y y y y n n y n y
trainEx89 democrat     n n n n y y n n n y y y y y n y
trainEx90 democrat     n y y n n n y y y y n n n n y y
trainEx91 republican   n n y y n n y y y y n n n y y y
trainEx92 democrat     y n y n n n y y y y n n n n y y
trainEx93 democrat     n n y n n n y y y y y n n n y y
trainEx94 democrat     n n y n n n y y y y y n n n y y
trainEx95 democrat     n y y n n n y y y y y n n n y y
trainEx96 republican   n y y y y y y n y y n y y y n y
trainEx97 republican   n y n y y y n n n n n y y y n y
trainEx98 republican   n y n y y y n n y y n y y y n y
trainEx99 republican   n y n y y y n n n y n y y y n y
trainEx100 republican  n n n y y y n n n y n y n y n y
